query_number,query_type,query,query_nikud,age_group,comments,image_count,answer,תשובה מתקבלת להורים,תשובה ירוקה,תשובה צהובה,תשובה אדומה,רמז
18,הבנה,איפה ילד יושב,אֵיפֹה יֶלֶד יוֹשֵׁב,2:07-3:00,,2,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,הקראה נוספת
19,הבנה,מי שונה? מי לא מתאים לקבוצה?,מִי שׁוֹנֶה? מִי לֹא מַתְאִים לַקְּבוּצָה?,2:07-3:00,,3,1,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,הצבעה לא נכונה,מי לא חיה?
20,הבנה,איפה הצעצועים\משחקים?,אֵיפֹה הַצַּעֲצוּעִים\מְשַׂחֲקִים?,2:07-3:00,,10,"4,6,7,8",הצבעה נכונה על לפחות 4 תמונות ,עובר 4\5,הצביע לאחר בלבול \רמז מההורה,אם הילד לוחץ על 2 תמונות לא נכונות בזמן הלחיצות אז זה אוטמאית יעבור לצהוב(בתנאי שהוא מגיע ל4),ניתן לתת דוגמא לכל צעצעוע בנפרד
28,הבנה,איפה הילד שקופץ,אֵיפֹה הַיֶּלֶד שֶׁקּוֹפֵץ,3:00-4:00,,2,1,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,,מי לא יושב ?
29,הבנה,איפה הילדה שקר לה,אֵיפֹה הַיַּלְדָּה שֶׁקַּר לָהּ,3:00-4:00,,2,1,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,,תחשוב על מה הילדה לובשת
30,הבנה,איפה הדובי ליד הקופסא,אֵיפֹה הַדֻּבִּי לְיַד הַקֻּפְסָא,3:00-4:00,,3,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,,ניתן להראות לילד משו שנמצא ליד משהו ולהצביע עליו
31,הבנה,הצבע על הכדור הצהוב הגדול,הַצֶּבַע עַל הַכַּדּוּר הַצָּהֹב הַגָּדוֹל,3:00-4:00,,3,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,,"ניתן להראות מחווה של: ""גדול"". "
32,הבנה,מה חרוז של חלון?,מָה חָרוּז שֶׁל חַלּוֹן?,3:00-4:00,,3,2,הצבעה נכונה,הצבעה נכונה,הצביע לאחר בלבול \רמז מההורה,,הקראה נוספת עם דגש על המילה חלון ועל התשובות
33,הבעה,מה משותף לחתול פרה וצב? כולם חיות? צעצועים או בגדים? ,מָה מְשֻׁתָּף לֶחָתוּל פָּרָה וְצָב? כֻּלָּם חַיּוֹת? צַעֲצוּעִים אוֹ בְּגָדִים?,3:00-4:00,,3,,הבנת קטגוריות,"כולם חיות, חיות, ",,,את מי אפשר ללטף?
41,הבנה,ילדה אוכלת אגס גדול וירוק,יַלְדָּה אוֹכֶלֶת אַגָּס גָּדוֹל וְיָרֹק,4:00-5:00,,3,1,הבנת הוראות מורכבות,הצבעה,הצביע לאחר בלבול \רמז מההורה,,"להדגיש את המילה גדול\להדגים במחווה של ""גדול"" עם הידיים"
42,הבנה,איפה ילדה שקיבלה גלידה מאמא,אֵיפֹה יַלְדָּה שֶׁקִּבְּלָה גְּלִידָה מֵאִמָּא,4:00-5:00,,2,1,הבנת סביל,הצבעה,הצביע לאחר בלבול \רמז מההורה,,להגיד: האמא נתנה לה את הגלידה
43,הבנה,עם מה מצחצחים,עִם מָה מְצַחְצְחִים,4:00-5:00,,3,1,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,מחווה של צחצוח שיניים
44,הבנה,איפה כדור כחול קטן מתחת לשולחן,אֵיפֹה כַּדּוּר כָּחֹל קָטָן מִתַּחַת לַשֻּׁלְחָן,4:00-5:00,,4,2,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,"הדגשה של מחוות גודל, ושלילת צבע (זה לא צהוב)"
45,הבנה,ילדה עם שמלה אדומה ומטרייה סגורה,יַלְדָּה עִם שִׂמְלָה אֲדֻמָּה וּמִטְרִיָּה סְגוּרָה,4:00-5:00,,3,1,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,הקראה נוספת
46,הבנה,הצבע על הכלב לפני שאתה מצביע על החתול,הַצֶּבַע עַל הַכֶּלֶב לִפְנֵי שֶׁאַתָּה מַצְבִּיעַ עַל הֶחָתוּל,4:00-5:00,,2,2->1,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,הקראה נוספת
47,הבנה,מה שונה,מָה שׁוֹנֶה,4:00-5:00,,3,1,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,מי לא נוסע על הכביש
55,הבנה,הצבע מה יקרה אחר כך-צריך ךתקן שיראו מה התמונות שצריך לבחור מתוכך,הַצֶּבַע מָה יִקְרֶה אַחַר כָּךְ-צָרִיךְ ךתקן שֶׁיִּרְאוּ מָה הַתְּמוּנוֹת שֶׁצָּרִיךְ לִבְחֹר מִתּוֹכְךָ,5:00-6:00,,3,2,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,שאל את הילד אם הילד הצליח או לא הצליח לטפס בסולם 
56,הבנה,מי קיבל גלידה ראשון,מִי קִבֵּל גְּלִידָה רִאשׁוֹן,5:00-6:00,,2,2,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,שים לב לסדר הילדים
57,הבנה,מי כועס כי לקחו לו צעצוע,מִי כּוֹעֵס כִּי לָקְחוּ לוֹ צַעֲצוּעַ,5:00-6:00,,3,3,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,שים לב להבעות פנים של הילדים ולצעצוע.
58,הבנה,מה משותף למטוס וציפור?,מָה מְשֻׁתָּף לַמָּטוֹס וְצִפּוֹר?,5:00-6:00,,2,,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,תנסה לספור עם האצבעות
59,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,הַצֶּבַע עַל חַיָּה גְּדוֹלָה מֵחָתוּל וּקְטַנָּה מִסּוּס,5:00-6:00,,4,4,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,ניתן להעזר במחוות ידיים לתאור גודל
60,הבנה,אנלוגיה-נעל:רגל זה כמו כפפה ו?,אָנָלוֹגְיָה-נַעַל:רֶגֶל זֶה כְּמוֹ כְּפָפָה ו?,5:00-6:00,,3,3,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,להסביר למה נעל מתאימה לרגל כך שיבין את ההקשר למה כפפה מתאימה ליד
61,הבנה,מי נרטב כי שכח מטרייה,מִי נִרְטַב כִּי שָׁכַח מִטְרִיָּה,5:00-6:00,,2,1,הצבעה נכונה,הצבעה,הצביע לאחר בלבול \רמז מההורה,,שים לב מי לא מחזיק מטריה
7,הבעה,מה אתה רואה בתמונה?,מָה אַתָּה רוֹאֶה בַּתְּמוּנָה?,2:00-2:06,,2,,"שימוש במילה מדוייקת או במילה קרובה על פי שימוש הילד (למשל דו, ","כדור ואוטו, כדור, אוטו, אדו, נית, האן האן, ",היה זקוק לרמז מוחשי או פונולוגי או סמנטי,מילים אחרות,מה נוסע על הכביש? ובמה בועטים?
8,הבעה,מה הילד עושה- החלפתי תמונה,מָה הַיֶּלֶד עוֹשֶׂה- הֶחְלַפְתִּי תְּמוּנָה,2:00-2:06,,1,,הילד משתמש בפועל: נוסע ,נוסע באוטו ,,האם האם,מחווה של תנועת נסיעה עם היד
9,הבעה,מה ילד עושה,מָה יֶלֶד עוֹשֶׂה,2:00-2:06,,1,,הילד  משתמש בפועל ישן,"ישן, נומי נומי, ",,מיטה,מחווה של שינה
10,הבעה,זה כדור קטן וזה?,זֶה כַּדּוּר קָטָן וְזֶה?,2:00-2:06,,1,,הילג משתמש בתאור גודל גדול,"גדול, כדור גדול",,"קטן, כדור קטן, כדור",מחווה של תיאור גודל
11,הבעה,מה הילד רוצה?,מָה הַיֶּלֶד רוֹצֶה?,2:00-2:06,,1,,משתמש בפועל לשתות,"לשתות, לשתות מים, ",,מים,עודדו הפקת פועל. אם הילד עונה רק מים שאלו. מה הוא רוצה לעשות עם המים? 
12,הבעה,זה החתולשלו וזה החתול? ,זֶה הַחֲתוּלַשְׁלוּ וְזֶה הֶחָתוּל?,2:00-2:06,,1,,הילד משתמש במילת יחס:שלה,"שלה, החתול שלה, של הילדה",,,הקראה שוב עם אינטונציה לכיוון נקבה
13,הבעה,תגיד לי 2 חיות שאתה מכיר-לשים את התמונה של החיות,תַּגִּיד לִי 2 חַיּוֹת שֶׁאַתָּה מַכִּיר-לָשִׂים אֶת הַתְּמוּנָה שֶׁל הַחַיּוֹת,2:00-2:06,,1,,זיהוי שם החיה או קול החיה. ,משיים לפחות 3 חיות,,,ניתן לעודד את הילד להשמיע את קול החיה
21,הבעה,מה זה- החלפתי תמונות,מָה זֶה- הֶחְלַפְתִּי תְּמוּנוֹת,2:07-3:00,,3,,הילד משיים שמות עצם שכיחים,משיים לפחות 4 פריטים,,,"אם הילד מנסה לתאר בתנועות את הפריט, ניתן לתת את הצליל הפותח של המילה לדוגמא: מיכ...(למכנסיים)"
22,הבעה,הוא אוכל והיא? ,הוּא אוֹכֵל וְהִיא?,2:07-3:00,,1,,הילד משתמש בפועל בנקבה,", ",,,הקריאו שוב והתכוונו לילדה
23,הבעה,איזה צבע זה,אֵיזֶה צֶבַע זֶה,2:07-3:00,,3,,"אומר את שמות הצבעים אדום, צהוב, כחול",מזהה 2 צבעים מתוך 3 ,,,הקריאו שוב והמנעו מלתת צליל פותח של שם הצבע
24,הבעה,כל אלה? כ,כָּל אֵלֶּה? כ,2:07-3:00,,1,,הילד משתמש בצורת רבים ורבות,בובות חתולים כדורים,,בובה חתול ילד,בובה אחת והרבה? חתול אחד והרבה? 
25,הבעה,הילד מחזיק דובי גדול והילד הזה מחזיק? ,הַיֶּלֶד מַחְזִיק דֻּבִּי גָּדוֹל וְהַיֶּלֶד הַזֶּה מַחְזִיק?,2:07-3:00,,1,,הילד משתמש בתאור גודל-קטן,"קטן, כדוק קטן, ",,"כדור, גדול",הדגשה של מחוות גודל
26,הבעה,מה הילד אומר לאמא?,מָה הַיֶּלֶד אוֹמֵר לְאִמָּא?,2:07-3:00,,1,,"הפקת משפט פשוט והבעת רצונות : תביא לי עוגיה, הוא רוצה עוגיה","תביא לי עוגייה, רוצה עוגייה, תביא עוגייה",,"עוגייה , אמא עוגייה",אם הילד אומר עוגיה שאלו שוב: אם אתה רוצה עוגיה איך תגיד לאמא? 
27,הבעה,"חזור אחריי"": הילדה שמחה כי היא קיבלה גלידה","חֲזֹר אַחֲרַי"": הַיַּלְדָּה שְׂמֵחָה כִּי הִיא קִבְּלָה גְּלִידָה",2:07-3:00,,1,,חיקוי משפט פשוט,אמא באה הביתה,,אמא ,הקריאו שוב לאט
34,הבעה,מה תעשה אם הידיים שלך יהיו מלוכלכות? ,מָה תַּעֲשֶׂה אִם הַיָּדַיִם שֶׁלְּךָ יִהְיוּ מְלֻכְלָכוֹת?,3:00-4:00,,1,,עונה בהיגיון  על שאלות היפוטתטיות ,"אשטוף אותם, אנקה אותם",,,מחווה של שטיפת ידיים
35,הבעה,למה הילדה בוכה,לָמָּה הַיַּלְדָּה בּוֹכָה,3:00-4:00,,1,,הסקת מסקנות  (הילדה בוכה כי היא נפלה מהאופניים),"כי היא נפלה מהאופניים, היא נפלה אופניים, היא נפלה ויש לה פצע, ",מכה,"נפלה, אופניים, בוכה, פצע, קיבלה דם",להכווין את הילד לאופניים
36,הבעה,ספר מה קרה לפי הסדר- לתקן: בוא תספר לי מה קרה בהתחלה ומה האחכ? ומה בסוף?,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר- לְתַקֵּן: בּוֹא תְּסַפֵּר לִי מָה קָרָה בַּהַתְחָלָה וּמָה הָאַחַכּ? וּמָה בַּסּוֹף?,3:00-4:00,,1,,תיאור רצף פעולות פשוט עם התחלה אמצע וסוף ,"הוא לקח לחם ושם שוקולד ואכל, הוא עשה סנדוויץ ","לעודד אותו: מה קרה בהתחלה ? ומה אחכ ומה בסוף, עכשיו תגיד הכל יחד",אכל כריך,להכווין את הילד: מה הוא עושה בהתחלה? ועכשיו? ובסוף? ועכשיו תגיד הכל יחד 
37,הבעה,ספר מה אתה  רואה בתמונה,סַפֵּר מָה אַתָּה  רוֹאֶה בַּתְּמוּנָה,3:00-4:00,,1,,הפ'ת משפטים מחוברים ומוררכבים,"הילדים מתנדנדים, הילדה מתגלשת, הילדים משחקים בחול, הילד מחכה בתור, הילד מחכה למעלה, ",מילים בודדות,ילדים,"אם הילד אומר משפטים פשוטים נסו לעודד אותו להגיד ומה הילדה עושה , ומה הם עושים? "
38,הבעה,לשים פה תמונה של הילדה שקר לה- ולשאול: לילדה קר: מה אתה תעשה אם יהיה לך קר ,לָשִׂים פֹּה תְּמוּנָה שֶׁל הַיַּלְדָּה שֶׁקַּר לָהּ- וְלִשְׁאֹל: לַיַּלְדָּה קַר: מָה אַתָּה תַּעֲשֶׂה אִם יִהְיֶה לְךָ קַר,3:00-4:00,,1,,הספקת מסקנות ותאור פועל בעתיד. ,"אני אלבש מעיל, אני אלבש בגדים ארוכים ",,,להכווין את הילד למעיל
39,הבעה,לתקן-  לספור את כל הארנבות? ,לְתַקֵּן-  לִסְפֹּר אֶת כָּל הָאַרְנָבוֹת?,3:00-4:00,,1,,מנייה וספירה תקינה,,,פה,מחווה עם האצבעות
40,הבעה,"לתקן- מה עושים עם מגבת , ומה עושים עם מזלג? ","לְתַקֵּן- מָה עוֹשִׂים עִם מַגֶּבֶת , וּמָה עוֹשִׂים עִם מַזְלֵג? ",3:00-4:00,,1,,שיוך פעולה לחפץ,"במגבת מתנגבים ובמזלג אוכלים, מתנגבים ואוכלים ",,ברכה ואוכל,ניתן לתת רמז של צליל פותח (במגבת מית..)
48,הבעה,למה הילד עצוב,לָמָּה הַיֶּלֶד עָצוּב,4:00-5:00,,1,,הסקת מסקנות מסיטואציה חברתית,"כי החברים שלו צוחקים עליו, כי הם לא משתפים אותו, כי הוא לבד",,"הוא יושב, הוא עצוב, הוא כועס, ככה",להכווין את הילד לסיטואציה החברתית שמתרחשת 
49,הבעה,ספר מה קרה לפי הסדר,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר,4:00-5:00,,1,,תאור רצף שגרת בוקר ים התחלה טמצע וסוף,"קודם הילדה קמה ואז היא מצחצחת שיניים, ואז היא אכלה ואחכ היא הולכת לגן\לבית ספר. היא קמה בבוקר ושוטפת פנים ואוכל ארוחת בוקר ושמה תיק",,"בוקר, אוכלת ו",להכווין את הילד: מה הוא עושה בהתחלה? ועכשיו? ובסוף? ועכשיו תגיד הכל יחד 
50,הבעה,חידות,חִידוֹת,4:00-5:00,,2,,זיהוי פריט מתוך הגדרה בלבד,,,,ניתן לעשות מחווה של מפתח
51,הבעה,חידות ,חִידוֹת,4:00-5:00,,1,,זיהוי פריט מתוך הגדרה בלבד,,,,הוא גם מלך החיות 
52,הבעה,מה מצחיק בתמונה? הוספתי תמונה,מָה מַצְחִיק בַּתְּמוּנָה? הוֹסַפְתִּי תְּמוּנָה,4:00-5:00,,1,,הבנת אבסורד והומור,"שהחתול נועל נעליים, שלחתול יש נעליים ",,חתול מצחיק,תסתכל על החתול.מה משונה בו..
53,הבעה,תסביר לי מה זה מכונית ,תַּסְבִּיר לִי מָה זֶה מְכוֹנִית,4:00-5:00,,1,,הגדרת מילים,"היא נוסעת בכביש, יש לה גלגלים, אנשים נוסעים בה, היא מהירה, יש לאמא ואבא ",,,תסתכל על התמונה או תחשוב על האוטו שלנו
54,הבעה,ספר סיפור חופשי קצר- פעם אחת הלכתי לים ו...,סֵפֶר סִפּוּר חָפְשִׁי קָצָר- פַּעַם אַחַת הָלַכְתִּי לַיָּם ו...,4:00-5:00,הורים- הילד מספר לפחות 3 משפטים,1,,הפקת סיפור חופשי עם לפחות 3 משפטים ,,,,הכוון את הילד לסיפור ששניכם זוכרים
62,הבעה,מה קרה לילדה,מָה קָרָה לַיַּלְדָּה,5:00-6:00,,1,,הבנת סיטואציה מתוך תמונה וניסוח שאלה מתאימה,היא לא מוצאת את הנעל שלה: אמא את יכולה לעזור לי למצא את הנעל,,שהוא רוצה לעלות ,להכווין את הילד להסתכל על הרגל היחפה של הילדה ולשאול אותו מה היא תבקש מהאמא
63,הבעה, אין שאלה..יש אחד בסוף במקום ,אֵין שְׁאֵלָה..יֵשׁ אֶחָד בַּסּוֹף בִּמְקוֹם,5:00-6:00,,1,,להחליף שאלה,,,,
64,הבעה,לתקן= בית מתחיל בצליל? דלת מתחילה בצליל? ,לְתַקֵּן= בַּיִת מַתְחִיל בִּצְלִיל? דֶּלֶת מַתְחִילָה בִּצְלִיל?,5:00-6:00,,1,,מודעות פונולוגית (זיהוי צליל פותח),"מספיק צליל (בה, דה) ולא חייב שם האות ",,,הקראה איטית והדגשה של הצליל הפותח
65,הבעה,מה קורה בכל תמונה? ,מָה קוֹרֶה בְּכָל תְּמוּנָה?,5:00-6:00,,1,,פעיל וסביל,הילד אוכל עם הכפית ופה אמא מאכילה את התינוק,,,לעודד את ההילד להבין שיש פעולה שהילד עושה ושיש פעולה שמישהו אחר עושה
66,הבעה,תקשיב לדוגמא: אם רוצים להגיד על משהו שהוא מאוד קר אז אומרים קר כמו קרח  ,תַּקְשִׁיב לְדֻגְמָא: אִם רוֹצִים לְהַגִּיד עַל מַשֶּׁהוּ שֶׁהוּא מְאוֹד קַר אָז אוֹמְרִים קַר כְּמוֹ קֶרַח,5:00-6:00,,1,,משלים דימויין,,,,אם הילד לא מבין ניתן לתת תשובה לשאלה אחת 
67,הבעה,לתקן- למה הילד רטוב? ? ומה הוא יכול לעשות? ,לְתַקֵּן- לָמָּה הַיֶּלֶד רָטֹב? ? וּמָה הוּא יָכוֹל לַעֲשׂוֹת?,5:00-6:00,,1,,הפקת משפט מורכב בגלל ש,"ב, בית, ד, דלד",,,
68,הבעה,לתקן- למה הילד מאוכזב?,לְתַקֵּן- לָמָּה הַיֶּלֶד מְאֻכְזָב?,5:00-6:00,,1,,הסקת מסקנות,,,,
69,הבעה,מה משותף לציפור ומטוס,מָה מְשֻׁתָּף לַצִּפּוֹר וּמְטוֹס,5:00-6:00,,,,דמיון ושוני,"לשניהם יש כנפים, שניהם עפים בשמיים",,,נסו להתייחס למדדים
