query_number,query_type,query,age_group,comments,image_count,answer,hint,query_nikud
54,הבעה,מה עושים עם מגבת? ומה עושים עם מזלג?,3:00-4:00,,2,,,מָה עוֹשִׂים עִם מַגֶּבֶת? וּמָה עוֹשִׂים עִם מַזְלֵג?
55,הבעה,למה הילד עצוב,4:00-5:00,,1,,,לָמָּה הַיֶּלֶד עָצוּב
56,הבעה,ספר מה קרה לפי הסדר,4:00-5:00,,1,,,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר
57,הבעה,אני אתן לך חידות ואתה תנחש מה זה? ,4:00-5:00,,1,,,אֲנִי אֶתֵּן לְךָ חִידוֹת וְאַתָּה תְּנַחֵשׁ מָה זֶה? 
58,הבעה,מה אתה רואה בתמונה? מה הילדים עושים?,4:00-5:00,,1,,,מָה אַתָּה רוֹאֶה בַּתְּמוּנָה? מָה הַיְּלָדִים עוֹשִׂים?
59,הבעה,מה מצחיק בתמונות?,4:00-5:00,,2,,,מָה מַצְחִיק בַּתְּמוּנוֹת?
60,הבעה,ספר שלושה דברים על המכונית,4:00-5:00,,1,,,סַפֵּר שְׁלוֹשָׁה דְּבָרִים עַל הַמְּכוֹנִית
61,הבעה,ספר סיפור חופשי קצר- פעם אחת הלכתי לים ו...,4:00-5:00,הורים- הילד מספר לפחות 3 משפטים,1,,,סַפֵּר סִפּוּר חָפְשִׁי קָצָר: פַּעַם אַחַת הָלַכְתִּי לַיָּם וֶ
62,הבעה,מה הילד חושב?,5:00-6:00,,1,,,מָה הַיֶּלֶד חוֹשֵׁב?
63,הבעה,מה קרה לילדה? מה היא יכולה לשאול את אמא?,5:00-6:00,,1,,,מָה קָרָה לַיַּלְדָּה? מָה הִיא יְכוֹלָה לִשְׁאֹל אֶת אִמָּא?
64,הבעה,בית מתחיל ב? ודלת מתחילה ב? ,5:00-6:00,,1,,,בַּיִת מַתְחִיל בֶ? וְדֶלֶת מַתְחִילָה בֶ? 
65,הבעה,ספר מה קרה לפי הסדר,5:00-6:00,,1,,,סַפֵּר מָה קָרָה לְפִי הַסֵּדֶר
66,הבעה,מה אתה רואה בתמונה,5:00-6:00,,1,,,מָה אַתָּה רוֹאֶה בַּתְּמוּנָה
67,הבעה,למה הילד רטוב? ומה הוא יכול לעשות? ,5:00-6:00,,1,,,לָמָּה הַיֶּלֶד רָטוּב? וּמָה הוּא יָכוֹל לַעֲשׂוֹת? 
68,הבעה,למה הילד מאוכזב? ,5:00-6:00,,1,,,לָמָּה הַיֶּלֶד מְאֻכְזָב? 
