query_number,query_type,query,query_nikud,age_group,comments,image_count,answer,hint
55,הבנה,מי קיבל גלידה ראשון,מִי קִבֵּל גְּלִידָה רִאשׁוֹן,5:00-6:00,הסקת מסקנות מתמונה,3,2,הכוון את הילד לסדר הילדים בטור
56,הבנה,מי כועס כי לקחו לו צעצוע,מִי כּוֹעֵס כִּי לָקְחוּ לוֹ צַעֲצוּעַ,5:00-6:00,הסקת מסקנות מתמונה,3,3,הבעות הפנים של הילדים
57,הבנה,אם יש לך שני כדורים ואוסיף לך עוד שני כדורים. כמה כדורים יהיו לך,אִם יֵשׁ לְךָ שְׁנֵי כַּדּוּרִים וְאוֹסִיף לְךָ עוֹד שְׁנֵי כַּדּוּרִים. כַּמָּה כַּדּוּרִים יִהְיוּ לְךָ,5:00-6:00,מנייה,3,1,ספירה עם האצבעות 
58,הבנה,הצבע על חיה גדולה מחתול וקטנה מסוס,הַצֶּבַע עַל חַיָּה גְּדוֹלָה מֵחָתוּל וּקְטַנָּה מִסּוּס,5:00-6:00,הסקת מסקנות מהוראה מורכבת,4,4,מחוות לתאור גודל
59,הבנה,נעל ורגל זה כמו כפפה ו?,נַעַל וְרֶגֶל זֶה כְּמוֹ כְּפָפָה ו?,5:00-6:00,אנלוגיות ,3,3,נעל נועלים על הרגל..ואיפה לובשים כפפה?
60,הבנה,מי נרטב כי שכח מטרייה,מִי נִרְטַב כִּי שָׁכַח מִטְרִיָּה,5:00-6:00,הסקת מסקנות מתמונה,2,1,למה הוא נרטב כי מה אין לו?
61,הבעה,בית מתחיל ב?,בַּיִת מַתְחִיל ב?,5:00-6:00,,1,,
62,הבעה,מה קרה לילדה? מה היא יכולה לשאול את אמא?,מָה קָרָה לַיַּלְדָּה? מָה הִיא יְכוֹלָה לִשְׁאֹל אֶת אִמָּא?,5:00-6:00,"הפקת משפט שאלה:""אמא את יכולה לעזור לי?אמא תעזרי לי לחפש את הנעל",1,,הכוונה לרגליים של הילדה ושהיא לא מוצאת את הנעל
63,הבעה,דלת מתחילה ב?,דֶּלֶת מַתְחִילָה ב?,5:00-6:00,,1,,
64,הבעה,מה הילד עושה? ומה האמא עושה? ,מָה הַיֶּלֶד עוֹשֶׂה? וּמָה הָאִמָּא עוֹשָׂה? ,5:00-6:00,הילד אוכל והאמא מאכילה,2,,להדגים במחווה
65,הבעה,"אם משהו קר, אז אומרים שזה קר כמו?
","אִם מַשֶּׁהוּ קַר, אָז אוֹמְרִים שֶׁזֶּה קַר כְּמוֹ? ",5:00-6:00,,2,,
66,הבעה,אם נגעתי במשהו חד אז זה חד כמו?,אִם נָגַעְתִּי בְּמַשֶּׁהוּ חַד אָז זֶה חַד כְּמוֹ?,5:00-6:00,,1,,
67,הבעה,"אם אני שוחה טוב מאוד, אז אפשר להגיד שאני שוחה כמו?","אִם אֲנִי שׂוֹחֶה טוֹב מְאוֹד, אָז אֶפְשָׁר לְהַגִּיד שֶׁאֲנִי שׂוֹחֶה כְּמוֹ?",5:00-6:00,,1,,
68,הבעה,למה הילד מאוכזב?,לָמָּה הַיֶּלֶד מְאֻכְזָב?,5:00-6:00,,2,,
